Index,avg_price_per_kg
1,10.916844739405777
2,12.002707765437798
3,9.999863345691093
4,9.109795981429338
5,7.728999324667262
6,4.650082365526151
7,3.640081074119704
8,8.300850877254238
9,8.385898476943822
10,9.303642528804495
11,5.150968598555518
12,6.074705753018926
13,8.836652140771342
14,4.628690760790968
15,4.55003571152656
16,6.107639989037904
17,8.01004771169215
18,4.530201236630363
19,10.246087010843102
20,6.332224868617347
21,5.767418226444934
22,4.76036439281699
23,6.61119380776776
24,7.779984180760886
25,5.559670358949139
26,7.0088489392723705
27,7.756614807583518
28,7.8807924971009315
29,7.180245596408923
30,7.201573064465071
31,8.019156052867944
32,5.569859099121582
33,9.490614519302277
34,7.649982124869259
35,4.870098138328486
36,9.739244526085868
37,10.930464468779794
38,10.936016190507774
39,6.360015805129221
40,6.074387946415831
41,8.938022950795517
42,7.999424308247059
43,4.920021287596808
44,6.377535871728245
45,5.5599447875353505
46,4.671093511453459
47,5.00009280509569
48,5.561264430660139
49,6.110155458304513
50,3.330090368777439
51,1.2501467254094725
52,5.78197752087894
53,6.227219219958588
54,14.102753359651068
55,8.338589256704818
56,4.959005283840791
57,11.168039093256562
58,9.320604175980606
59,8.309801400848764
60,6.0818303043986095
61,9.068845881832816
62,11.18491998050737
63,6.22592277303795
64,9.058551731803094
65,5.449558413309658
66,6.048521188524383
67,7.171806606246315
68,4.550350576601345
69,5.723785873273309
70,7.10376297263911
71,5.460364552785941
72,4.46545498164973
73,2.900102899101308
74,7.9998984450468935
75,6.7812251954467415
76,4.935362126915084
77,6.109821164020155
78,9.288991178577684
79,10.93026043883565
80,6.577201201537355
81,5.739172443415066
82,5.000150068423277
83,5.89945888070439
84,5.566664666028558
85,1.1101504440053167
86,5.830056691616659
87,7.804838420230521
88,11.226860549860435
89,4.359748820683425
90,6.317082458698074
91,9.39961758752133
92,9.380765957358948
93,8.285128741941062
94,5.892038522828168
95,6.000030494563918
96,6.896611607250628
97,8.203972849619193
98,8.850473655044924
99,6.909403722131677
100,5.562230293399578
101,10.931963103618353
102,6.690367989904157
103,6.000091245306594
104,7.725265632332647
105,6.989877082296063
106,8.742404807358948
107,8.696867589419739
108,2.730107414539118
109,9.999740406728439
110,5.000049258215615
111,5.108614775265539
112,7.820150107585328
113,6.110084637154801
114,4.24008131124688
115,6.539230294982549
116,10.000512895972372
117,5.312255527510374
118,9.323025057042448
119,4.440065246677811
120,7.244141362179284
121,5.957771099792154
122,4.17442877588536
123,9.970025397958732
124,4.506131733783342
125,8.622901455766522
126,7.535632828542448
127,4.939732947756887
128,9.201717643393831
129,9.836227359983274
130,5.725063154927886
131,6.235382668503375
132,5.77948427944519
133,9.1620273918355
134,8.180305260799598
135,1.2501467254094725
136,6.228957996479177
137,7.6108840992805264
138,7.864211170855542
139,7.517723044813392
140,5.6305825266021685
141,7.760860334358266
142,5.500230350871898
143,9.011288801603822
144,6.128104913631476
145,9.280203083534397
146,6.725009494540716
147,5.729350529858233
148,7.960112129609236
149,5.486840500521
150,8.874392439734546
151,9.999768628660874
152,7.850768083882311
153,4.410112068798961
154,9.11488053781662
155,7.099831807624285
156,10.929678332807802
157,5.570501946263883
158,4.539969088737522
159,6.00008543971816
160,5.994292240553028
161,7.979515968829883
162,9.930107348376142
163,6.809925229590376
164,8.306248046352897
165,9.259307456564319
166,8.492303944258785
167,7.616558221702421
168,6.5863963939598085
169,5.000165302778557
170,7.5731695226309315
171,8.676662833879984
172,6.241717603804938
173,5.000054406088257
174,12.000052078141225
175,5.722663898512684
176,4.98112091096638
177,8.748587311440561
178,5.563856712365997
179,5.980035409163649
180,7.500521725076775
181,5.003174721311894
182,0.25017328680835993
183,9.881552192187344
184,6.948075482289175
185,6.390282461395081
186,0.3527130988683393
187,6.368039285437601
188,9.846076323804438
189,5.505917952797275
190,7.541616094332993
191,5.55863229004504
192,8.687244000848578
193,5.101190938464275
194,4.540074703532299
195,10.66315555653491
196,8.808484877364084
197,8.9951251464047
198,6.691533600211179
199,6.000102446677029
200,6.970514684269429
201,7.594594604789056
202,3.00013901654731
203,7.240344103920337
204,1.6701355696219395
205,6.329987352741301
206,4.409522307525727
207,7.869689804798747
208,7.779984180760886
209,7.276892063398292
210,8.488955418733624
211,7.329507492919869
212,14.103090564249243
213,5.409090411645925
214,5.899956091849084
215,9.420111680911567
216,5.559969319412701
217,5.61076596610403
218,5.512819611958818
219,10.074649948459687
220,8.249977251592803
221,5.550147268698462
222,5.263672738509968
223,8.787677202480777
224,10.929726285451492
225,11.968728734817395
226,6.4017469512271585
227,5.414909362914169
228,5.427686756489555
229,8.999602122155606
230,5.567733505645038
231,5.10989116960792
232,9.853372101801016
233,7.650224940787372
234,5.455371027304853
235,6.670116575888701
236,6.110017464615434
237,9.374128353195784
238,8.75425074874917
239,3.5700768297570113
240,5.759816020057186
241,4.4400718621774145
242,5.330043504663805
243,6.300114684357087
244,8.000750376718655
245,11.005523035814837
246,6.987219150929399
247,5.998732112021282
248,7.622712940314657
249,5.361430731261554
250,9.1407681879504
251,9.06958796755721
252,9.820646742699122
253,5.409835166222503
254,4.856546666288625
255,6.627180280381421
256,4.707492515321388
257,7.521387961915805
258,8.817214498928264
259,8.740406549612372
260,8.705962096175169
